id_penjualan, barang
90000088,MAP KERTAS MEREK BPS
90000088,PENA FASTER C-600
90000089,ROKOK MARLBORO MERAH
90000089,BODREX FLU & BTUK 4S
90000090,ANEKA JAJANAN PASAR
90000090,KOTAK KUE BUNGA 16X12
90000091,TEBS KLG 330 ML
90000092,ANEKA JAJANAN PASAR
90000092,NASI KUNING DAN BIHUN GORENG
90000093,ROKOK SURYA 16
90000094,NASI KUNING DAN BIHUN GORENG
90000095,ANEKA JAJANAN PASAR
90000095,ALFA ONE GALON ISI ULANG
90000096,ANEKA JAJANAN PASAR
90000096,NASI KUNING DAN BIHUN GORENG
90000097,ANEKA JAJANAN PASAR
90000097,TELUR AYAM
90000098,MR MUSCLE AXKERMK 800M APPLE
90000099,FRESTEA GREEN 750 ML BTL
90000099,KOREK API TOKAI/TAJ SENTER
90000100,ULTRA MILK LOW FAT 250 ML
90000100,FISHERMAN FRIEND SUGAR FREE BLKCRNT 25G
90000101,ROKOK SAMPURNA MILD 12
90000101,NASI KUNING DAN BIHUN GORENG
90000102,ANEKA JAJANAN PASAR
90000102,AQUA 600ML
90000103,MINUTE MAID PULPY ORANGE 350ML
90000103,ADES NATURAL 350M
90000104,ANEKA JAJANAN PASAR
90000104,NASI KUNING DAN BIHUN GORENG
90000105,BOOM  DETERGEN BAG 800 GR
90000105,SABUN CREAM EKONOMI PUTIH 500GR
90000106,AQUA 600ML
90000107,POCARI 350ML
90000108,COCA-COLA BTL 425 ML
90000109,ANEKA JAJANAN PASAR
90000109,AQUA 600ML
90000109,PIATTOS SAPI PANGGANG 85G
90000109,NASI KUNING DAN BIHUN GORENG
90000110,ANEKA JAJANAN PASAR
90000110,KERIPIK BAWANG JAMBI
90000110,AQUA GALON
90000110,KEDELE  JAGUNG LINTING KEPANG 5758 1/2KG
90000110,PEYEK KERIPIK BAYAM SINGKONG PEDAS
90000111,QUAKER OATMEAL INSTAN 800 GR
90000111,KERIPIK TEMPE IBU TITIN
90000112,ROKOK SURYA 16
90000113,INDOMIE GORENG JUMBO 129 GR
90000114,ANEKA JAJANAN PASAR
90000114,ROKOK DJI SAM SOE 12
90000114,ROKOK SAMPURNA MILD 16
90000114,NASI KUNING DAN BIHUN GORENG
90000115,ANEKA JAJANAN PASAR
90000115,FRESTEA FRUTCY LEMON 500 ML
90000115,FRESTEA GREEN HONEY 500 ML
90000116,ROKOK MARLBORO LIGHT
90000116,AQUA 600ML
90000117,CLASS MILD 16
90000117,FRUIT TEA GUAVA 500M
90000117,RUJAK MI RAGIT
90000118,MONDE EGG DROPS 110 GR
90000118,POCARI 350ML
90000118,ROTI TAWAR
90000119,RAWIT JOGED 12
90000120,ROKOK SURYA 16
90000120,ROKOK SAMPURNA MILD 16
90000121,ROKOK SAMPURNA MILD 16
90000122,ANEKA JAJANAN PASAR
90000123,ULTRA SARI KACANG HIJAU 200 ML
90000124,ROKOK DJI SAM SOE MAGNUM
90000125,CHOCHO WAFER STICK RADJA 750 GR
90000126,ANEKA JAJANAN PASAR
90000126,COCA-COLA 1500 ML
90000126,OSKADON TABLET
90000126,DONAT MANIS
90000127,BENDERA SKM KRIMER 45 GR
90000127,SPRITE BTL 425 ML
90000128,ANEKA JAJANAN PASAR
90000128,ROKOK MARLBORO MERAH
90000128,AMSAFE AROMATHERAPI ROLL ON
90000128,JOY TEA HONEY LEMON 500 ML
90000129,AQUA 600ML
90000129,ROKOK SURYA 16
90000129,NASI KUNING DAN BIHUN GORENG
90000130,ROKOK SURYA 16
90000131,ROKOK SURYA PROMILD PUTIH 16
90000131,ANEKA SNACK HAWAI JAGUNG STIK KACANG
90000132,INDOMIE MIE GORENG RASA IGA PENYET 80 GR
90000132,INDOMIE GORENG KRIUK PEDAS
90000132,ANEKA JAJANAN PASAR
90000132,PERMEN JAHE
90000132,NASI KUNING DAN BIHUN GORENG
90000132,RUJAK MI RAGIT
90000133,ROKOK SAMPURNA U MILD
90000133,ROKOK SAMPURNA MILD 16
90000134,ANEKA JAJANAN PASAR
90000135,ANEKA JAJANAN PASAR
90000136,ANEKA JAJANAN PASAR
90000137,ANEKA JAJANAN PASAR
90000138,KAPAL API SP MERAH 65G
90000138,ALFA ONE GALON ISI ULANG
90000139,ANEKA JAJANAN PASAR
90000139,SARI ROTI SANDWICH ISI COKLAT
90000139,SARI ROTI SANDWICH ISI KEJU
90000140,ANEKA JAJANAN PASAR
90000141,ALFAONE 240ML
90000142,ANEKA JAJANAN PASAR
90000142,YOU C 1000 VIT ORANGE
90000143,AQUARIUS BTL 500 ML
90000144,BENDERA COKLAT 115 ML KTK
90000144,INDOMILK UHT COKLAT 250M
90000145,SNICKERS 51G
90000145,SARI ROTI SANDWICH ISI COKLAT
90000145,YOU C 1000 LEMON WATER 500 ML
90000146,ANEKA JAJANAN PASAR
90000146,GULAKU PREMIUM PUTIH 1 KG
90000146,KOPI KIJANG 1/4KG
90000147,ANEKA JAJANAN PASAR
90000147,NASI KUNING DAN BIHUN GORENG
90000148,ANEKA JAJANAN PASAR
90000148,FANTA STRAWBERY 1 5 LITER PET 5 LITER PET
90000149,PERMEN JAHE
90000149,TORABIKA DUO SUSU 6x33G
